单位:(mV)
,CH1,CH2
频率,?,?
周期,?,?
265,12080.00,1640.00
266,160.00,1600.00
267,80.00,1640.00
268,160.00,1640.00
269,80.00,1640.00
270,80.00,1640.00
271,80.00,1680.00
272,80.00,1640.00
273,160.00,1680.00
274,80.00,1640.00
275,80.00,1640.00
276,80.00,1600.00
277,80.00,1640.00
278,80.00,1640.00
279,160.00,1640.00
280,160.00,1600.00
281,80.00,1640.00
282,80.00,1640.00
283,80.00,1640.00
284,80.00,1640.00
285,160.00,1640.00
286,160.00,1640.00
287,80.00,1640.00
288,160.00,1680.00
289,160.00,1600.00
290,160.00,1680.00
291,80.00,1640.00
292,160.00,1640.00
293,80.00,1640.00
294,160.00,1640.00
295,160.00,1640.00
296,160.00,1640.00
297,160.00,1640.00
298,160.00,1680.00
299,80.00,1640.00
300,80.00,1600.00
301,160.00,1600.00
302,160.00,1640.00
303,160.00,1640.00
304,160.00,1640.00
305,160.00,1640.00
306,80.00,1680.00
307,80.00,1640.00
308,160.00,1600.00
309,160.00,1640.00
310,160.00,1680.00
311,80.00,1640.00
312,160.00,1600.00
313,80.00,1640.00
314,160.00,1600.00
315,160.00,1600.00
316,80.00,1600.00
317,160.00,1640.00
318,160.00,1600.00
319,80.00,1640.00
320,160.00,1600.00
321,160.00,1640.00
322,160.00,1640.00
323,160.00,1640.00
324,80.00,1640.00
325,160.00,1640.00
326,160.00,1600.00
327,160.00,1640.00
328,160.00,1640.00
329,160.00,1640.00
330,160.00,1640.00
331,160.00,1640.00
332,80.00,1600.00
333,160.00,1640.00
334,160.00,1600.00
335,160.00,1640.00
336,160.00,1640.00
337,160.00,1640.00
338,160.00,1640.00
339,160.00,1640.00
340,160.00,1680.00
341,160.00,1640.00
342,160.00,1640.00
343,160.00,1680.00
344,160.00,1640.00
345,160.00,1640.00
346,80.00,1600.00
347,80.00,1640.00
348,160.00,1640.00
349,160.00,1680.00
350,80.00,1600.00
351,160.00,1640.00
352,160.00,1640.00
353,160.00,1640.00
354,160.00,1680.00
355,160.00,1640.00
356,160.00,1640.00
357,160.00,1640.00
358,160.00,1640.00
359,160.00,1640.00
360,160.00,1640.00
361,160.00,1600.00
362,160.00,1640.00
363,160.00,1640.00
364,80.00,1680.00
365,160.00,1680.00
366,160.00,1600.00
367,80.00,1640.00
368,160.00,1640.00
369,160.00,1640.00
370,160.00,1640.00
371,160.00,1600.00
372,160.00,1640.00
373,160.00,1600.00
374,160.00,1680.00
375,160.00,1640.00
376,160.00,1640.00
377,160.00,1640.00
378,160.00,1680.00
379,160.00,1680.00
380,80.00,1600.00
381,160.00,1640.00
382,160.00,1680.00
383,160.00,1680.00
384,160.00,1640.00
385,160.00,1640.00
386,160.00,1600.00
387,160.00,1640.00
388,160.00,1600.00
389,160.00,1640.00
390,160.00,1640.00
391,160.00,1640.00
392,160.00,1640.00
393,160.00,1640.00
394,80.00,1640.00
395,160.00,1640.00
396,160.00,1640.00
397,160.00,1640.00
398,160.00,1600.00
399,160.00,1680.00
400,160.00,1640.00
401,240.00,1640.00
402,160.00,1640.00
403,160.00,1640.00
404,160.00,1640.00
405,160.00,1640.00
406,160.00,1640.00
407,160.00,1640.00
408,160.00,1640.00
409,160.00,1680.00
410,160.00,1600.00
411,160.00,1600.00
412,160.00,1640.00
413,160.00,1640.00
414,160.00,1640.00
415,160.00,1640.00
416,160.00,1600.00
417,160.00,1640.00
418,160.00,1640.00
419,160.00,1640.00
420,160.00,1600.00
421,160.00,1640.00
422,80.00,1640.00
423,160.00,1680.00
424,160.00,1680.00
425,160.00,1640.00
426,160.00,1640.00
427,160.00,1640.00
428,160.00,1640.00
429,160.00,1640.00
430,80.00,1600.00
431,160.00,1680.00
432,160.00,1600.00
433,160.00,1600.00
434,160.00,1600.00
435,80.00,1640.00
436,160.00,1640.00
437,160.00,1680.00
438,160.00,1640.00
439,160.00,1640.00
440,160.00,1640.00
441,160.00,1600.00
442,160.00,1640.00
443,160.00,1680.00
444,160.00,1640.00
445,160.00,1640.00
446,160.00,1640.00
447,160.00,1640.00
448,160.00,1680.00
449,160.00,1640.00
450,80.00,1680.00
451,160.00,1640.00
452,160.00,1640.00
453,160.00,1640.00
454,160.00,1680.00
455,160.00,1640.00
456,160.00,1640.00
457,160.00,1600.00
458,160.00,1640.00
459,160.00,1600.00
460,160.00,1640.00
461,160.00,1640.00
462,160.00,1640.00
463,160.00,1600.00
464,160.00,1640.00
465,160.00,1640.00
466,160.00,1680.00
467,160.00,1640.00
468,160.00,1640.00
469,160.00,1640.00
470,160.00,1640.00
471,160.00,1640.00
472,160.00,1640.00
473,160.00,1680.00
474,160.00,1640.00
475,160.00,1600.00
476,240.00,1600.00
477,160.00,1640.00
478,160.00,1600.00
479,160.00,1640.00
480,160.00,1640.00
481,160.00,1600.00
482,160.00,1640.00
483,160.00,1640.00
484,160.00,1680.00
485,160.00,1640.00
486,80.00,1640.00
487,160.00,1600.00
488,160.00,1680.00
489,160.00,1640.00
490,160.00,1640.00
491,160.00,1640.00
492,160.00,1640.00
493,160.00,1680.00
494,160.00,1640.00
495,80.00,1640.00
496,160.00,1640.00
497,160.00,1680.00
498,160.00,1640.00
499,160.00,1640.00
500,160.00,1640.00
501,160.00,1640.00
502,160.00,1640.00
503,160.00,1680.00
504,160.00,1640.00
505,160.00,1600.00
506,160.00,1600.00
507,160.00,1640.00
508,160.00,1640.00
509,160.00,1680.00
510,160.00,1600.00
511,160.00,1640.00
512,160.00,1680.00
513,160.00,1680.00
514,160.00,1600.00
515,160.00,1680.00
516,160.00,1680.00
517,160.00,1640.00
518,160.00,1680.00
519,160.00,1600.00
520,160.00,1600.00
521,160.00,1640.00
522,160.00,1680.00
523,160.00,1600.00
524,160.00,1640.00
525,160.00,1600.00
526,160.00,1640.00
527,160.00,1680.00
528,240.00,1600.00
529,160.00,1600.00
530,160.00,1640.00
531,160.00,1680.00
532,80.00,1680.00
533,160.00,1600.00
